ACCX;ACCY;ACCZ;GYROX;GYROY;GYROZ
0.05;-0.02;1.15;-1.05;1.10;-2.64
0.05;-0.02;1.15;-0.79;1.44;-2.60
0.05;-0.02;1.14;-1.54;0.66;-2.52
0.05;-0.02;1.15;-1.05;1.13;-2.17
0.05;-0.02;1.15;-1.25;1.39;-2.52
0.05;-0.02;1.15;-1.13;1.48;-2.79
0.05;-0.02;1.16;-1.16;1.31;-2.34
0.05;-0.02;1.15;-1.69;0.03;-2.20
0.05;-0.01;1.16;-2.18;1.02;-2.32
0.13;-0.04;1.07;5.08;21.80;-3.04
0.05;-0.02;1.14;-1.73;-2.52;-2.40
0.05;-0.01;1.15;-1.39;0.44;-2.41
0.05;-0.02;1.16;-1.05;1.15;-2.37
0.05;-0.02;1.15;-0.96;1.10;-2.18
0.05;-0.02;1.15;-1.02;1.15;-2.44
0.05;-0.02;1.14;-1.24;0.70;-2.53
0.05;-0.02;1.16;-1.30;0.50;-2.43
0.04;-0.02;1.15;-1.33;0.73;-2.26
0.05;-0.02;1.14;-1.05;0.79;-2.21
0.05;-0.02;1.14;-1.39;0.26;-2.55
0.04;-0.02;1.14;-1.28;0.21;-2.34
0.06;-0.02;1.14;-1.19;1.05;-2.20
0.05;-0.02;1.14;-0.76;1.28;-2.24
0.06;-0.02;1.15;-0.85;1.15;-2.24
0.05;-0.02;1.15;-1.44;1.15;-2.92
0.05;-0.02;1.15;-1.22;1.05;-2.17
0.05;-0.02;1.16;-1.07;1.10;-2.47
0.06;-0.02;1.15;-1.21;1.37;-2.66
0.05;-0.03;1.16;-1.08;1.37;-2.26
0.05;-0.02;1.14;-1.74;-2.99;-2.93
0.06;-0.02;1.13;-0.31;3.31;-2.44
0.02;-0.02;1.19;-1.44;-1.76;-2.53
0.04;-0.01;1.16;-1.40;-0.03;-2.73
0.05;-0.02;1.15;-0.67;4.24;-2.34
0.05;-0.02;1.15;-1.36;-0.67;-2.52
0.05;-0.03;1.13;-1.22;-0.52;-2.37
0.06;-0.02;1.15;-1.28;0.46;-2.29
0.06;-0.03;1.14;-1.31;0.84;-2.24
0.05;-0.02;1.15;-1.65;-0.95;-2.44
0.05;-0.02;1.14;-1.13;0.75;-2.23
0.05;-0.02;1.15;0.11;6.24;-2.64
0.04;-0.02;1.16;-1.60;-0.89;-2.43
0.06;-0.02;1.15;-0.20;4.55;-2.50
0.04;-0.02;1.16;-0.96;4.27;-2.56
0.04;-0.01;1.15;0.05;8.76;-2.66
0.06;-0.02;1.15;-2.17;-0.70;-2.50
0.04;-0.02;1.15;-1.11;6.20;-2.56
0.03;-0.01;1.17;-1.51;-0.79;-2.43
0.04;-0.02;1.17;-0.90;3.39;-2.49
0.05;-0.02;1.16;-1.89;-3.31;-2.58
0.04;-0.02;1.15;-1.76;-0.93;-2.26
0.05;-0.02;1.15;-1.54;0.17;-2.18
0.05;-0.02;1.15;-1.69;-0.92;-1.92
0.05;-0.02;1.13;-1.24;-0.11;-2.43
0.05;-0.02;1.14;-1.01;1.68;-2.41
0.04;-0.02;1.15;-0.96;1.57;-2.44
0.04;-0.02;1.15;-0.98;1.42;-2.56
0.05;-0.03;1.13;-0.21;-1.31;-2.38
0.04;-0.02;1.15;-1.07;2.56;-2.31
0.05;-0.02;1.14;-1.37;3.31;-2.60
0.04;-0.02;1.14;-1.33;0.34;-2.56
0.05;-0.03;1.15;-1.27;-0.93;-2.49
0.05;-0.02;1.14;-1.39;0.84;-2.24
0.05;-0.02;1.15;-0.84;1.98;-2.47
0.05;-0.02;1.15;-1.11;0.98;-1.89
0.04;-0.02;1.15;-0.96;-0.18;-2.41
0.05;-0.02;1.14;-1.01;-0.05;-2.20
0.04;-0.03;1.14;-1.10;1.22;-2.55
0.05;-0.01;1.13;-1.13;1.13;-2.50
0.05;-0.02;1.15;-1.01;0.92;-2.21
0.05;-0.02;1.15;-1.24;1.13;-2.06
0.05;-0.02;1.15;-1.10;0.18;-2.15
0.05;-0.03;1.15;-1.36;-0.26;-2.56
0.05;-0.02;1.14;-0.60;1.11;-2.52
0.05;-0.03;1.15;-0.38;3.92;-2.60
0.05;-0.02;1.15;-1.76;-2.98;-2.17
0.05;-0.02;1.15;-1.47;-1.18;-2.40
0.06;-0.02;1.13;-0.99;3.04;-2.43
0.05;-0.02;1.16;-1.37;-0.21;-2.78
0.03;-0.01;1.16;-1.07;4.14;-2.70
0.05;-0.03;1.13;-1.21;2.31;-2.78
0.08;-0.03;1.12;-0.82;3.69;-2.24
0.04;-0.02;1.15;-1.40;1.19;-2.17
0.04;-0.01;1.14;-1.28;0.84;-2.60
0.04;-0.02;1.14;-1.36;0.64;-2.20
0.05;-0.02;1.14;-0.98;0.89;-2.12
0.05;-0.02;1.15;-1.28;1.16;-2.78
0.05;-0.02;1.15;-1.13;1.07;-2.21
0.05;-0.01;1.14;-0.69;0.96;-2.29
0.05;-0.02;1.14;-1.27;1.21;-2.46
0.05;-0.02;1.15;-1.08;1.27;-2.43
0.04;-0.01;1.15;-0.69;1.33;-2.29
0.05;-0.02;1.15;-1.18;1.31;-2.23
0.05;-0.02;1.14;-0.49;1.07;-2.12
0.05;-0.02;1.14;-1.10;1.50;-2.67
0.05;-0.02;1.16;-1.19;0.96;-2.35
0.04;-0.02;1.15;-1.15;1.45;-2.24
0.04;-0.02;1.15;-1.08;0.99;-2.53
0.05;-0.02;1.15;-1.10;1.95;-2.35
0.05;-0.02;1.14;-0.95;3.60;-2.50
0.06;-0.02;1.13;-1.04;1.24;-2.37
0.04;-0.02;1.16;-1.05;1.59;-2.49
0.04;-0.02;1.15;-1.08;1.47;-2.79
0.05;-0.02;1.15;-0.98;1.51;-2.50
0.04;-0.02;1.15;-1.05;1.71;-2.44
0.04;-0.02;1.15;-1.08;1.40;-2.38
0.04;-0.02;1.15;-1.31;0.49;-2.41
0.04;-0.02;1.16;-1.18;0.11;-2.66
0.05;-0.02;1.15;-1.57;-0.02;-2.29
0.05;-0.03;1.14;-1.13;0.95;-2.38
0.04;-0.03;1.16;-1.47;-0.15;-2.67
0.05;-0.01;1.15;-1.28;-0.09;-2.37
0.05;-0.02;1.14;-1.60;-1.44;-2.17
0.05;-0.02;1.14;-1.34;-0.96;-2.24
0.06;-0.02;1.15;-1.01;0.40;-2.79
0.04;-0.02;1.15;-0.92;0.58;-2.53
0.05;-0.02;1.14;-0.58;0.53;-2.56
0.05;-0.02;1.15;-2.00;-3.47;-2.03
0.03;-0.01;1.16;-0.92;0.21;-2.23
0.06;-0.02;1.13;-1.50;0.11;-2.29
0.05;-0.02;1.15;-1.07;-0.17;-2.70
0.04;-0.02;1.15;-1.01;1.16;-2.56
0.05;-0.02;1.15;-1.19;1.31;-2.61
0.05;-0.02;1.15;-0.89;0.03;-2.08
0.05;-0.02;1.15;-1.01;1.24;-2.23
0.05;-0.02;1.15;-0.98;1.04;-2.53
0.05;-0.02;1.14;-1.27;0.89;-2.23
0.04;-0.02;1.16;-0.99;1.34;-2.21
0.05;-0.02;1.15;-0.87;1.30;-2.60
0.06;-0.02;1.14;-1.02;0.95;-2.73
0.05;-0.02;1.15;-0.99;1.18;-2.41
0.04;-0.02;1.15;-1.04;0.60;-2.58
0.05;-0.02;1.14;-1.28;-0.02;-2.08
0.05;-0.03;1.15;-0.99;1.51;-2.79
0.06;-0.02;1.15;-0.95;1.74;-2.55
0.05;-0.02;1.15;-1.18;1.34;-2.21
0.05;-0.02;1.14;-1.18;1.76;-2.49
0.05;-0.02;1.15;-0.93;1.71;-2.70
0.05;-0.02;1.15;-1.28;1.16;-2.79
0.05;-0.02;1.15;-1.39;0.78;-2.52
0.05;-0.02;1.14;-1.53;0.60;-2.26
0.05;-0.02;1.15;-1.47;0.58;-2.38
0.05;-0.02;1.15;-0.69;0.85;-2.73
0.04;-0.02;1.15;-0.99;1.33;-2.41
0.06;-0.02;1.15;-0.96;1.56;-2.38
0.05;-0.02;1.15;-1.19;0.56;-2.46
0.06;-0.02;1.14;-1.15;1.05;-2.52
0.05;-0.02;1.15;-0.95;0.89;-2.60
0.05;-0.02;1.15;-1.22;1.54;-2.55
0.05;-0.02;1.15;-1.04;1.54;-2.27
0.05;-0.02;1.14;-1.39;2.02;-2.26
0.05;-0.02;1.15;-0.55;1.71;-2.18
0.05;-0.02;1.14;-0.76;1.82;-2.29
0.04;-0.02;1.15;-1.02;1.48;-2.47
0.05;-0.02;1.15;-1.33;1.31;-2.38
0.05;-0.02;1.15;-1.19;0.75;-2.50
0.05;-0.02;1.15;-1.13;0.84;-2.52
0.05;-0.02;1.15;-1.34;0.72;-2.56
0.05;-0.02;1.15;-0.90;0.63;-2.14
0.05;-0.02;1.15;-1.62;1.13;-2.29
0.05;-0.02;1.14;-1.02;0.84;-2.37
0.05;-0.03;1.15;-1.30;0.95;-2.60
0.05;-0.02;1.14;-1.18;1.10;-2.52
0.05;-0.02;1.14;-0.98;0.95;-2.41
0.04;-0.03;1.15;-1.04;1.44;-1.98
0.04;-0.02;1.15;-1.28;1.82;-2.21
0.05;-0.02;1.14;-0.93;1.15;-2.46
0.05;-0.02;1.14;-1.10;0.58;-2.40
0.05;-0.02;1.15;-1.33;0.76;-2.32
0.04;-0.02;1.14;-1.30;0.60;-2.37
0.05;-0.02;1.15;-1.33;-0.70;-2.06
0.05;-0.02;1.15;-1.50;-0.52;-2.55
0.04;-0.02;1.17;-3.15;-6.76;-2.06
0.03;-0.02;1.18;-0.11;5.77;-2.69
0.05;-0.02;1.14;-1.05;1.13;-2.70
0.05;-0.02;1.15;-1.30;1.31;-2.92
0.05;-0.02;1.15;-1.19;1.02;-2.55
0.05;-0.02;1.14;-0.95;1.08;-2.09
0.05;-0.02;1.14;-1.16;1.01;-2.32
0.04;-0.02;1.16;-1.04;1.21;-2.34
0.05;-0.02;1.15;-0.98;1.34;-2.67
0.05;-0.02;1.15;-1.22;1.50;-2.18
0.05;-0.03;1.15;-0.89;1.51;-2.35
0.05;-0.01;1.14;-1.05;1.31;-2.26
0.04;-0.02;1.14;-0.98;1.77;-2.66
0.05;-0.02;1.15;-0.98;0.95;-2.14
0.05;-0.02;1.15;-1.18;0.85;-2.34
0.05;-0.02;1.15;-1.13;1.42;-2.56
0.05;-0.02;1.15;-1.01;0.93;-2.40
0.04;-0.02;1.14;-1.13;0.99;-2.53
0.04;-0.02;1.14;-0.84;1.11;-2.31
0.06;-0.02;1.14;-1.10;1.36;-2.32
0.04;-0.02;1.15;-1.21;0.44;-2.41
0.05;-0.02;1.14;-1.05;0.81;-2.85
0.04;-0.01;1.15;-2.53;-4.69;-2.40
0.05;-0.02;1.16;-1.11;2.82;-2.70
0.06;-0.02;1.12;-1.15;0.81;-1.82
0.11;-0.03;1.07;-1.48;3.08;-3.15
0.05;-0.02;1.15;-0.70;2.52;-2.44
0.05;-0.02;1.16;-0.46;4.69;-2.52
0.05;-0.02;1.14;-1.97;-2.31;-2.37
0.04;-0.02;1.15;-1.28;-0.53;-2.56
0.08;-0.02;1.12;-0.08;3.66;-2.75
0.07;-0.02;1.14;-1.27;3.13;-2.89
0.06;-0.02;1.13;-0.84;1.54;-2.56
0.04;-0.02;1.14;-0.23;7.05;-2.40
0.02;-0.02;1.18;0.44;8.96;-2.90
0.07;-0.02;1.13;-1.24;-0.56;-2.69
0.07;-0.02;1.12;-2.03;-0.92;-2.38
0.05;-0.02;1.15;-0.96;2.46;-2.60
0.04;-0.02;1.15;-0.78;3.08;-2.58
0.05;-0.02;1.14;-1.18;1.53;-2.69
0.02;-0.01;1.18;-3.30;-10.21;-1.80
0.04;-0.02;1.15;-1.48;1.15;-2.46
0.05;-0.02;1.16;-0.46;3.39;-2.44
0.04;-0.02;1.15;-1.53;-0.84;-2.24
0.04;-0.02;1.15;-0.70;3.02;-2.52
0.03;-0.01;1.15;-1.01;-0.03;-2.31
0.06;-0.02;1.13;-0.46;3.62;-2.66
0.04;-0.01;1.18;-1.54;-4.52;-1.85
0.03;-0.01;1.18;-0.72;1.39;-2.61
-0.01;-0.02;1.18;-0.06;2.37;-2.66
0.04;-0.03;1.15;-0.38;1.28;-2.60
0.05;-0.02;1.15;-1.66;-3.80;-2.06
0.06;-0.03;1.12;-1.63;-4.29;-2.14
0.05;-0.02;1.15;-1.39;-0.15;-2.66
0.07;-0.02;1.15;0.49;6.75;-2.56
0.03;-0.02;1.17;0.85;8.35;-2.53
0.05;-0.02;1.14;0.50;9.91;-2.67
0.04;-0.02;1.16;-1.30;0.67;-2.55
0.05;-0.02;1.15;-2.69;-4.55;-2.20
0.04;-0.02;1.15;-2.26;-3.95;-2.12
0.05;-0.02;1.14;-2.15;-3.18;-2.27
0.04;-0.02;1.17;-0.63;2.31;-2.18
0.05;-0.02;1.14;-1.21;-0.63;-2.29
0.04;-0.02;1.15;-2.70;-6.18;-2.12
0.05;-0.03;1.16;0.76;7.28;-2.43
0.05;-0.02;1.15;-0.99;1.02;-2.49
0.05;-0.01;1.15;3.65;23.07;-3.28
0.06;-0.02;1.15;-2.63;-5.60;-2.11
0.05;-0.02;1.14;-1.13;1.63;-2.38
0.04;-0.02;1.15;-1.22;0.50;-2.38
0.04;-0.02;1.16;-2.38;-5.31;-2.18
0.06;-0.02;1.14;-0.92;0.85;-2.53
0.07;-0.02;1.14;-0.73;2.67;-2.18
0.07;-0.02;1.13;0.84;9.28;-3.01
0.05;-0.01;1.15;-1.36;1.95;-2.56
0.04;-0.02;1.14;-1.10;2.11;-2.14
0.06;-0.02;1.13;-1.15;-0.08;-2.38
0.05;-0.02;1.16;0.96;7.40;-2.56
0.04;-0.02;1.16;-0.56;5.89;-2.37
0.03;-0.01;1.17;-0.84;1.62;-2.24
0.04;-0.02;1.16;-1.21;-0.15;-2.26
0.05;-0.02;1.15;-0.85;-0.20;-2.47
0.04;-0.02;1.16;-0.06;3.65;-2.50
0.03;-0.02;1.15;-1.80;-3.22;-2.32
0.05;-0.02;1.14;-0.75;0.89;-2.76
0.04;-0.01;1.15;-0.63;1.95;-2.47
0.05;-0.02;1.15;-1.07;1.76;-2.26
0.04;-0.02;1.15;-1.82;0.21;-2.52
0.04;-0.02;1.14;-2.29;-3.13;-1.98
0.04;-0.02;1.18;-3.25;-8.76;-1.92
0.04;-0.01;1.13;-1.59;-0.02;-2.43
0.05;-0.02;1.15;-0.81;5.15;-2.26
0.05;-0.03;1.15;-0.37;3.11;-2.81
0.05;-0.02;1.15;-1.24;1.02;-2.29
0.05;-0.02;1.15;-1.15;0.44;-2.38
0.05;-0.03;1.15;-1.11;0.60;-2.47
0.05;-0.02;1.15;-0.89;1.07;-2.37
0.04;-0.02;1.14;-1.30;1.19;-2.47
0.05;-0.02;1.14;-1.40;0.99;-2.85
0.05;-0.02;1.14;-1.13;0.99;-2.50
0.05;-0.02;1.14;-1.18;1.01;-2.31
0.05;-0.02;1.15;-1.10;0.98;-2.26
0.04;-0.02;1.14;-1.30;1.21;-2.41
0.04;-0.02;1.14;-1.04;0.93;-2.60
0.04;-0.02;1.15;-0.87;0.92;-2.27
0.05;-0.02;1.15;-0.70;0.90;-2.03
0.05;-0.02;1.14;-0.93;1.21;-2.67
0.05;-0.03;1.15;-1.33;0.85;-2.24
0.04;-0.02;1.14;-1.13;1.10;-2.53
0.04;-0.02;1.14;-1.22;0.78;-2.72
0.05;-0.02;1.16;-1.47;0.92;-2.34
0.05;-0.02;1.15;-0.99;0.56;-2.58
0.04;-0.02;1.14;-1.22;0.55;-2.47
0.05;-0.02;1.15;-1.37;0.85;-2.37
0.04;-0.02;1.15;-1.11;0.84;-2.24
0.05;-0.02;1.14;-1.13;1.57;-2.47
0.05;-0.01;1.15;-1.31;0.92;-2.63
0.05;-0.02;1.14;-1.18;0.78;-2.53
0.05;-0.02;1.15;-1.28;0.52;-2.17
0.05;-0.02;1.15;-1.15;1.24;-2.49
0.05;-0.02;1.15;-1.37;1.08;-2.75
0.05;-0.02;1.15;-1.04;1.01;-2.32
0.05;-0.02;1.14;-1.36;1.02;-2.49
0.05;-0.02;1.15;-1.19;0.89;-2.52
0.05;-0.02;1.14;-0.99;1.16;-2.27
0.05;-0.03;1.16;-1.25;1.57;-2.29
0.04;-0.02;1.15;-1.01;0.60;-2.24
0.05;-0.02;1.15;-1.40;1.28;-2.61
0.04;-0.02;1.15;-1.44;0.96;-2.32
0.05;-0.02;1.15;-1.10;1.07;-2.67
0.05;-0.02;1.16;-1.34;0.87;-2.43
0.05;-0.02;1.15;-1.19;1.08;-2.79
0.04;-0.02;1.15;-0.85;1.10;-2.14
0.05;-0.02;1.15;-1.28;1.10;-2.72
0.05;-0.02;1.15;-0.95;1.01;-2.84
0.05;-0.02;1.14;-1.08;0.98;-2.47
0.05;-0.02;1.15;-1.31;0.63;-2.46
0.05;-0.02;1.15;-0.47;3.63;-2.24
0.06;-0.01;1.14;-1.10;1.05;-2.00
0.06;-0.02;1.13;0.35;7.80;-2.72
0.04;-0.02;1.15;-1.28;-1.62;-1.91
0.04;-0.02;1.13;-1.71;-2.27;-1.89
0.04;-0.02;1.15;-2.53;-3.91;-2.20
0.05;-0.02;1.15;-1.10;2.12;-2.66
0.06;-0.02;1.12;-1.22;1.24;-2.61
0.06;-0.02;1.15;-1.56;-0.87;-2.31
0.05;-0.02;1.14;-0.99;2.24;-2.40
0.04;-0.02;1.16;-1.21;0.79;-2.11
0.04;-0.01;1.16;-1.24;-0.27;-2.43
0.04;-0.02;1.15;-0.18;5.48;-2.60
0.06;-0.02;1.14;-0.61;2.05;-2.05
0.06;-0.03;1.13;-1.34;-1.05;-2.49
0.04;-0.01;1.13;-1.97;-3.37;-2.24
0.04;-0.02;1.15;-1.73;-1.54;-2.63
0.04;-0.02;1.15;-1.22;0.44;-2.23
0.04;-0.02;1.15;-1.69;-1.42;-2.03
0.06;-0.03;1.14;-2.03;-3.13;-2.34
0.05;-0.02;1.14;-1.47;-1.68;-2.50
0.05;-0.02;1.16;-1.50;-0.17;-2.18
0.05;-0.02;1.15;-0.90;2.27;-2.08
0.05;-0.02;1.14;-1.04;1.76;-2.27
0.05;-0.02;1.14;-0.78;1.15;-2.43
0.05;-0.02;1.15;-0.95;1.33;-2.56
0.04;-0.01;1.15;-1.24;0.11;-2.31
0.04;-0.02;1.16;-1.10;1.53;-2.64
0.02;-0.02;1.18;-2.23;-7.34;-2.00
0.04;-0.01;1.18;-4.18;-10.95;-2.40
0.07;-0.02;1.14;-1.33;0.06;-2.49
0.05;-0.01;1.16;-1.69;-1.15;-2.12
0.05;-0.02;1.14;-0.99;2.72;-2.34
0.04;-0.02;1.15;-0.85;3.40;-2.37
0.05;-0.01;1.16;-1.13;0.37;-2.37
0.03;-0.02;1.17;-2.72;-6.60;-2.17
0.06;-0.01;1.14;-1.01;2.92;-2.60
0.04;-0.02;1.13;-1.36;-0.66;-2.31
0.04;-0.02;1.16;-0.60;1.56;-2.32
0.04;-0.02;1.16;-0.73;1.13;-2.37
0.04;-0.01;1.16;-1.77;-2.46;-2.46
0.06;-0.02;1.14;-2.29;-3.37;-2.26
0.04;-0.02;1.12;1.74;16.11;-2.92
0.02;-0.01;1.13;1.22;18.15;-2.23
0.02;-0.02;1.17;-1.18;-3.08;-2.46
0.09;-0.02;1.10;-2.69;-7.47;-2.18
0.07;-0.03;1.12;-1.44;0.44;-2.23
0.04;-0.01;1.14;-0.69;3.04;-2.27
0.05;-0.02;1.14;-2.11;-3.19;-2.15
0.05;-0.01;1.13;-0.55;3.56;-2.14
0.05;-0.03;1.16;-0.44;3.21;-2.38
0.04;-0.02;1.17;-1.07;1.37;-2.31
0.06;-0.02;1.14;-0.32;5.48;-2.81
0.04;-0.02;1.16;0.81;9.18;-2.43
0.05;-0.02;1.14;-2.44;-3.51;-2.35
0.05;-0.02;1.15;-1.53;1.69;-1.94
0.05;-0.02;1.15;-1.24;-1.02;-2.35
0.06;-0.02;1.13;-1.59;-0.78;-2.12
0.05;-0.02;1.16;-0.61;2.09;-2.81
0.05;-0.01;1.15;-1.47;0.31;-2.26
0.05;-0.02;1.14;-0.99;2.96;-2.46
0.04;-0.02;1.15;-0.70;5.73;-2.49
